men in hard hats are operating a giant pulley system .,9
men working on a machine wearing hard hats .,9
child in a pink dress is climbing up a set of stairs in an entry way .,5
little girl in a pink dress going into a wooden cabin .,6
in a blue shirt and hat is standing on stair and leaning against a window .,7
guy cooking and joking around with the camera .,5
young woman walks past two young people dressed in hip black outfits .,2
casually dressed guys jumping down a stairway outdoors with a stone wall behind them .,0
guys three wearing hats one not are jumping at the top of a staircase .,6
man in a neon green and orange uniform is driving on a green tractor .,5
man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,6
man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .,5
man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .,5
man wearing a hard hat and a caution vest is standing in the street waving an orange flag .,9
man wearing a hard hat and a caution vest is standing in the street waving an orange flag .,9
man in bright vest and hard hat holds a flag on a street corner covered in spray paint,2
man wearing a reflective vest and a hard hat holds a flag in the road,5
man with pierced ears is wearing glasses and an orange hat .,2
man with pierced ears is wearing glasses and an orange hat .,2
man with glasses is wearing a beer can crocheted hat .,2
man with gauges and glasses is wearing a Blitz hat .,6
man in an orange hat starring at something .,9
man in an orange hat starring at something .,9
man wears an orange hat and glasses .,9
man wears an orange hat and glasses .,9
person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .,2
in blue coat with white and brown hat standing in front of a painting .,5
man is sitting at a table with a drink .,6
man is sitting at a table with a beer .,9
" white out " conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .,9
" white out " conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .,9
men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .,2
tan man with a backwards hat looks at the camera while walking through a factory .,5
tan man with a backwards hat looks at the camera while walking through a factory .,5
man with a backwards hat works on machinery .,2
caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .,6
little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .,5
recently married couple pose for the camera .,0
with orange ball at feet , stands on shore shaking off water,0
white dog shakes on the edge of a beach with an orange ball .,9
group of people picnicking at picnic tables in front of a playground .,0
are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .,6
are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .,6
elderly woman is eating a burger while the man next to her touching his hat .,6
man with a balloon hat and people eating outdoors at picnic tables .,0
man with a balloon hat and people eating outdoors at picnic tables .,0
older women sit at a table with two coolers in front of them .,6
man in a suit is running past two other gentleman , also dressed in a suit .,2
man in a hat is displaying pictures next to a skier in a blue hat .,5
man in a hat is displaying pictures next to a skier in a blue hat .,5
woman wearing an orange leotard doing gymnastics in front of an audience .,2
man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .,6
sitting at a table at a restaurant with a glass of water .,6
boy in a green sweater is sitting at a table .,6
bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car .,3
couple in their wedding attire stand behind a table with a wedding cake and flowers .,2
band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .,9
man in an orange shirt sings for the crowd below a sign that says Lucky 13 .,3
little boy looks at the camera while a woman behind him seems to be laughing very hard and the woman on the right has a big smile on her face .,0
woman in a dark dress smiles while a woman across from her and a child sit in chairs .,9
men wearing hard hats are in a construction area .,6
men in orange vests work in road construction .,6
in orange vests work in a street .,5
in a green dress with a white top and red-hair singing in a room with a blue roof while band equipment is being prepared .,0
toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .,6
young child wearing a blue shirt and red hat grabs onto black bars in front of him .,7
boy in a red hat holding on to some railings .,3
is a skyscraper in the distance with a man walking in front of the camera .,9
woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .,6
dressed in brown African attire pushing a toddler in a stroller .,6
young child with a Band-Aid on his head sits eating at a small white table with a little girl eating off a yellow plate .,9
young blond-haired boy and a dark-haired girl are eating at a kid 's table .,7
children are sitting at a table eating food .,9
children eating at a small table .,9
boy eats his food outside at the table .,5
Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant .,9
woman in a white shirt is sitting at a table in a nice restaurant .,9
young woman sits at a dinner table with two entrees and a martini .,9
bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .,2
man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .,9
man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .,9
photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats .,7
photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats .,7
man photographs a woman in a pink dress and a throng of men in suits .,9
taking a photograph of a well dressed group of teens .,7
older man holds an object and is looking at two young girls that sit across from him at a table that is outside .,5
man and woman pose for the camera while another man looks on .,9
man in dress shirt plays the bassoon while reading sheet music from a stand,7
group of people wearing snowshoes , and dressed for winter hiking , is standing in front of a building that looks like it 's made of blocks of ice .,0
man wearing a hat and a white shirt is cleaning windows .,9
asian people are eating together around a table .,3
people are sitting at a table eating food .,6
man in a blue hat stands near a shovel in a deep hole .,6
little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .,0
African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .,7
African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .,7
African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads .,3
African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads .,3
member of an African tribe is watching the camera intently in tribal dress .,7
member of an African tribe is watching the camera intently in tribal dress .,7
samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .,9
man dressed in black doing karate in a green field .,6
hikers , one facing towards the camera and the others facing away from it , are walking through a rocky riverbed .,0
women in colorful dresses are sweeping water out of the street while a man watches .,9
young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,5
little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background .,7
child in a dress runs through the yard with a miniature orange soccer ball in her hand .,9
child in a dress runs through the yard with a miniature orange soccer ball in her hand .,9
little girl stands in a backyard , holding a toy and looking into the camera .,2
man shaking the hand of a woman in an orange shirt sitting on a bench .,2
young girl in a orange shirt shaking a hand .,9
people sitting beside each other at a table with food on it smiling .,9
couple wearing white sweaters sit at a restaurant table .,0
man and woman seated at a table together .,3
well lit room , with three glasses on the table and two plates .,7
elegant food serving on table at a restaurant .,9
meal is on a table in a restaurant .,9
boys , one with a yellow and orange ball , play in some water in front of a field .,3
woman in the blue dress is holding out her arm at oncoming traffic .,7
man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .,6
man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .,6
wearing hard hats and safety vests are working .,6
worker wearing a hard hat watching a large machine dig a trench in the dry dirt .,9
man in blue overalls and a yellow hard hat is watching a huge machine work .,9
man in a hard hat is wearing a blue shirt and blue jean overalls .,9
man in a hard hat looks at some machinery .,6
man sitting down with this head resting on his fists next to a man with his eyes closed and his together with dough sitting on a table in front of them both .,0
boy smiles for the camera at a beach .,6
tired-looking men relax on a couch near a wooden trestle table with a coffee cup on it .,2
in a pink hat walking with a man in a gray sweater .,9
woman in a pink hat strolls along sidewalk .,5
group of people sit around a table outside on a porch at night .,3
group of eight people are gathered around a table at night .,3
group of people sitting at a table in a darkened room .,7
young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat .,7
young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat .,2
young boys are looking at the camera , one smiling , the other sticking his tongue out .,0
little boy sticks his tongue out for the camera . Another boy looks on .,7
young boys look up at the camera as one sticks out his tongue .,3
men shoveling snow off a railroad track dressed in bright orange snowsuits .,5
men shoveling snow off a railroad track dressed in bright orange snowsuits .,5
men in orange coveralls shovel snow off railroad tracks .,6
men in hats and orange uniforms are shoveling snow .,5
men in hats and orange uniforms are shoveling snow .,5
group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .,5
group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .,5
workers in orange vests are repairing tram rails , as onlookers stand by .,2
wearing a yellow hat , pink shirt , and red apron is holding food in a kitchen .,7
in pink shirt smiles for camera inside a restaurant kitchen .,2
in orange vests are laying train track down .,3
wearing orange vests working on a railroad .,6
woman with an orange and gray shirt is fixing something .,9
is working in an orange vest .,7
group of people are either standing or sitting , some are wearing hats and scarves , while some are not .,6
group of fourteen is assembled in a hall with dining tables and a stage .,9
young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .,2
man working diligently while sitting at a table .,6
sitting using tool at a table in his home .,0
sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest .,7
woman dressed in light purple and wearing a corsage clasps her hands in her lap .,5
